ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
abui1241,Abui,,-8.31058,124.588,abui1241,abz
acha1249,Longchuan Achang,,24.3479,97.7438,acha1249,acn
acha1250,Achagua,,4.38649,-72.2005,acha1250,aca
ache1246,Aché,,-25.5865,-56.4697,ache1246,guq
achi1256,Achi,,15.073,-90.3513,achi1256,acr
adan1251,Adang,,-8.18958,124.448,adan1251,adn
adny1235,Adnyamathanha,,-30.1451,138.671,adny1235,adt
aghe1239,Aghem,,6.38956,10.0807,aghe1239,agq
aghu1254,Aghu Tharnggalu,,-13.735,142.426,aghu1254,ggr
agua1252,Aguacateco,,15.3307,-91.3153,agua1252,agu
ahte1237,Ahtena,,61.7068,-144.889,ahte1237,aht
ainu1240,Hokkaido Ainu,,43.633654,142.46167,ainu1240,ain
akit1240,Akita,,,,akit1240,
akka1240,Akkadian,,33.1,44.1,akka1240,akk
akla1241,Aklanon,,11.5543,122.354,akla1241,akl
akoo1248,Akoose,,4.9243,9.65522,akoo1248,bss
akwa1248,Akwa,,-0.39897,15.4623,akwa1248,akw
alng1239,Alngith,,-12.5324,141.938,alng1239,aid
alor1249,Alor-Pantar,,,,alor1249,
alun1238,Alune,,-3.11477,128.394,alun1238,alp
alya1239,Alyawarr,,-21.0427,136.835,alya1239,aly
amba1263,Amba (Uganda),,0.81206,30.0014,amba1263,rwm
amba1265,Ambai,,-1.88126,136.526,amba1265,amk
amba1266,Amba (Solomon Islands),,-11.2958,166.498,amba1266,utp
ambo1250,Ambonese Malay,,-3.71342,128.184,ambo1250,abs
amdo1237,Amdo Tibetan,,34.5177,100.485,amdo1237,adx
amga1235,Amganad Ifugao,,16.9016,121.042,amga1235,ifa
amha1245,Amharic,,11.708182,39.543456,amha1245,amh
amis1246,Amis,,23.0917,121.348,amis1246,ami
anak1240,Anakalangu,,-9.63425,119.605,anak1240,akg
anam1249,Anambé,,-2.71119,-49.303,anam1249,aan
anau1243,Anauyá,,,,anau1243,
anci1242,Ancient Greek,,39.8155,21.9129,anci1242,grc
anei1239,Aneityum,,-20.1864,169.825,anei1239,aty
anga1288,Angami Naga,,25.6841,93.8668,anga1288,njm
angu1242,Anguthimri,,-12.395,141.755,angu1242,awg
anma1239,Anmatyerre,,-22.2853,133.286,anma1239,amx
ante1238,Antekerrepenh,,,,ante1238,
anut1237,Anuta,,-11.61,169.85,anut1237,aud
aona1235,Ao Naga,,26.3241,94.3824,aona1235,njo
apat1240,Apatani,,27.1933,93.7284,apat1240,apt
apur1254,Apurinã,,-8.21692,-66.7714,apur1254,apu
aput1237,Aputai,,-7.84732,126.496,aput1237,apx
arab1267,Arabana,,-28.705,135.449,arab1267,ard
arak1252,Araki,,-15.632997,166.952542,arak1252,akr
aram1259,Aramaic,,,,aram1259,
araw1273,Araweté,,-4.90246,-52.5001,araw1273,awt
araw1276,Lokono,,5.64295,-56.9243,araw1276,arw
arbe1236,Arbëreshë Albanian,,38.911,16.7164,arbe1236,aae
argo1244,Argobba,,10.6596,39.756,argo1244,agj
arom1237,Aromanian,,40.616,21.2,arom1237,rup
arua1264,Aruan,,-0.608631,-50.123291,arua1264,
arva1236,Arvanitika Albanian,,38.283,23.3703,arva1236,aat
ashe1274,Asheninka,,,,ashe1274,
assa1263,Assamese,,26.0876,91.2932,assa1263,asm
asss1237,As,,-0.75267,131.728,asss1237,asz
asum1237,Asumboa,,-11.2969,166.499,asum1237,aua
asut1235,Asu (Tanzania),,-4.17978,37.8323,asut1235,asa
atam1240,Ata Manobo,,7.7789,125.499,atam1240,atd
atay1247,Atayal,,24.5209,121.388,atay1247,tay
aton1241,Atong (India),,25.346508,90.658722,aton1241,aot
aust1304,Austral,,-23.3843,-149.462,aust1304,aut
avac1239,Avá-Canoeiro,,-13.6081,-48.1336,avac1239,avv
aves1237,Avestan,,31.541,53.633,aves1237,ave
awab1243,Awabakal,,-33.12847,151.43555,awab1243,awk
awet1244,Awetí,,-12.381944,-53.391944,awet1244,awe
axiy1235,Axi Yi,,24.6009,103.713,axiy1235,yix
ayab1239,Yintyinka-Ayabadhu,,-14.6652,142.893,ayab1239,ayd
ayiw1239,Äiwoo,,-10.282595,166.328715,ayiw1239,nfl
baba1268,Babatana,,-7.22281,157.149,baba1268,baa
babu1240,Babuza,,24.0017,120.585,babu1240,bzg
bada1257,Badaga,,11.3094,76.5974,bada1257,bfq
badi1246,Badimaya,,-29.0647,117.246,badi1246,bia
badj1244,Badjiri,,-27.33,143.0,badj1244,jbi
bafa1247,Bafaw-Balong,,4.53307,9.522,bafa1247,bwt
bafi1243,Bafia,,4.72603,11.0982,bafi1243,ksf
bahi1252,Bahing,,27.3323,86.3949,bahi1252,bhj
baka1273,Bakaka,,4.79991,9.80402,baka1273,bqz
bala1310,Balangao,,17.0994,121.272,bala1310,blw
bali1274,Bali (Democratic Republic of Congo),,1.1807,26.5941,bali1274,bcp
bali1279,Balinese Malay,,-8.355884,114.648391,bali1279,mhp
balk1252,Balkan Romani,,42.67,21.17,balk1252,rmn
balk1254,Rumelian Turkish,,41.170545,24.44567,balk1254,bgx
bamu1253,Bamun,,5.49017,10.8477,bamu1253,bax
bamw1238,Bamwe,,2.16773,19.1644,bamw1238,bmg
band1339,Bandjalangic,,-28.3458,152.859,band1339,
bang1339,Banggarla,,-33.3036,136.079,bang1339,bjb
bang1354,Bangi,,-0.87437,17.227,bang1354,bni
bang1368,Banggai,,-1.58305,123.171,bang1368,bgz
bani1254,Avane,,5.26123,-67.5633,bani1254,bvv
bani1259,Baniwa-Curripaco,,,,bani1259,
banj1239,Banjar,,0.747105,115.79,banj1239,bjn
bank1256,Bankon,,4.3702,9.6403,bank1256,abb
bann1247,Bannoni,,-6.23061,155.128,bann1247,bcm
bant1281,Bantawa,,27.12147,87.04738,bant1281,bap
bant1286,Bantik,,1.44586,124.846,bant1286,bnq
bara1380,Barasana-Eduria,,0.02193,-70.808,bara1380,bsn
bare1276,Baré,,1.91649,-66.828,bare1276,bae
baro1252,Barombi,,4.64584,9.25261,baro1252,bbi
barr1247,Barrow Point,,-14.1219,144.531,barr1247,bpt
basa1284,Basa (Cameroon),,3.80765,10.4213,basa1284,bas
basa1287,Basay,,25.0046,121.857,basa1287,byq
bash1264,Bashkir,,53.5967,56.5594,bash1264,bak
bass1260,Bassossi,,5.23655,9.52275,bass1260,bsi
bata1285,Batanga,,1.397041,9.51011,bata1285,bnm
bata1289,Batak Toba,,2.35498,99.1761,bata1289,bbc
bata1298,Batad Ifugao,,16.8266,121.23,bata1298,ifb
bata1301,Batak,,10.1115,119.025,bata1301,bya
baub1235,Bau-Jagoi Bidayuh,,1.54467,109.985,baub1235,sne
baur1253,Baure,,-13.1278,-64.1838,baur1253,brg
bauu1243,Bau (Fijian),,,,bauu1243,
baya1257,Bayali,,-24.9793,151.699,baya1257,bjy
bayu1240,Bayungu,,-23.3809,114.108,bayu1240,bxj
beav1236,Beaver,,56.7984,-120.352,beav1236,bea
beem1239,Beembe,,-3.95895,14.1,beem1239,beq
beij1235,Beijingic,,,,beij1235,
beka1241,Riuk Bekati',,1.3307,109.576,beka1241,bei
bekw1242,Bekwil,,1.71801,14.6527,bekw1242,bkw
bela1254,Belarusian,,53.2307,25.6038,bela1254,bel
bela1260,Lemeting,,4.96207,114.933,bela1260,beg
bemb1257,Bemba (Zambia),,-10.6122,29.2993,bemb1257,bem
bena1262,Bena (Tanzania),,-9.26671,35.0364,bena1262,bez
bend1258,Bende,,-6.22082,30.5926,bend1258,bdp
beng1280,Bengali,,24.0,90.0,beng1280,ben
beng1282,Benga,,1.075766,9.600739,beng1282,bng
bera1259,Bera,,1.50054,30.0293,bera1259,brf
bett1235,Betta Kurumba,,11.6385,76.6064,bett1235,xub
biak1248,Biak,,-0.9523,135.879,biak1248,bhw
bidy1243,Bidyara,,-25.192664,147.273359,bidy1243,bym
biga1237,Bigambal,,-28.266,149.515,biga1237,xbe
biga1238,Biga,,-1.99574,130.272,biga1238,bhc
bila1255,Bila,,1.16839,28.7626,bila1255,bip
bilb1241,Bilibil,,-5.26505,145.764,bilb1241,brz
bile1244,Bile,,8.90052,11.1907,bile1244,bil
bima1247,Bima,,-8.57376,118.445,bima1247,bhp
bind1237,Bindalic,,,,bind1237,
binj1250,Binja,,,,binj1250,
bino1237,Binongan Itneg,,17.5972,120.876,bino1237,itb
bint1246,Bintulu,,3.867,113.634,bint1246,bny
binu1244,Talaandig-Binukid,,8.15933,124.892,binu1244,bkd
biri1256,Biri,,-20.1494,146.67,biri1256,bzr
blag1240,Blagar,,-8.31787,124.251,blag1240,beu
bobo1254,Bobot,,-3.43514,130.179,bobo1254,bty
bodo1269,Bodo-Mech,,26.1,92.0,bodo1269,brx
bodo1272,Bodo (Central African Republic),,6.0,26.0,bodo1272,boy
boka1249,Bokar-Ramo,,28.61433,94.066429,boka1249,
bolo1263,Bolondo,,2.46327,19.6181,bolo1263,bzm
boma1246,Boma,,2.5,15.6,boma1246,boh
bomw1238,Bomwali,,1.71005,15.9546,bomw1238,bmw
bond1247,Bondei,,-5.10749,38.5079,bond1247,bou
bone1254,Bonerate,,-7.37657,121.792,bone1254,bna
bong1284,Bongili,,0.37063,16.6079,bong1284,bui
bont1247,Bontok,,17.09386,121.02662,bont1247,bnc
bori1243,Bori-Karko,,27.62812,94.3538,bori1243,adi
boro1279,Borong,,-6.56688,147.511,boro1279,ksr
boto1242,Botolan Sambal,,15.2315,120.164,boto1242,sbl
brah1256,Brahui,,29.04,66.56,brah1256,brh
bret1244,Breton,,48.2452,-3.78934,bret1244,bre
brun1242,Brunei,,4.456045,114.429505,brun1242,kxd
bubi1250,Bubi,,-1.16762,12.32251,bubi1250,buw
budu1250,Budu,,2.00501,27.951,budu1250,buu
budz1238,Budza,,2.19951,22.6107,budz1238,bja
bugh1239,Bughotu,,-8.47948,159.802,bugh1239,bgt
bugi1244,Buginese,,-4.47,119.977,bugi1244,bug
buka1261,Bukat,,1.29075,113.246,buka1261,bvk
buku1249,Bukusu,,0.68043,34.7719,buku1249,bxk
bula1255,Bularnu,,-21.02656922,138.1566659,bula1255,
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,bul
buli1255,Buli (Indonesia),,1.0008,128.443,buli1255,bzq
bulu1251,Bulu (Cameroon),,3.16141,11.6365,bulu1251,bum
bung1264,Bunganditj,,-36.5,140.5,bung1264,xbg
bung1265,Bungu,,-8.32587,32.8801,bung1265,wun
bunu1267,Bunun,,23.4116,121.025,bunu1267,bnn
burd1238,Burduna,,-22.9646,114.658,burd1238,bxn
buru1303,Buru (Indonesia),,-3.43957,126.632,buru1303,mhs
buru1306,Burum-Mindik,,-6.51663,147.333,buru1306,bmu
bush1247,Bushoong,,-4.69463,21.4556,bush1247,buf
buya1244,Buyang,,,,buya1244,byu
buyu1239,Buyu,,-5.41806,28.5545,buyu1239,byi
bwaa1238,Bwa,,2.5957,25.2514,bwaa1238,bww
bwai1242,Bwaidoka,,-9.51158,150.297,bwai1242,bwd
bwel1238,Bwela,,3.22,19.28,bwel1238,bwl
byan1241,Byangsi,,29.92002,80.63653,byan1241,bee
cabi1241,Cabiyarí,,0.16101,-71.0622,cabi1241,cbb
cahu1264,Cahuilla,,33.5324,-116.691,cahu1264,chl
cala1258,Calamian Tagbanwa,,12.0716,120.094,cala1258,tbk
camp1261,Campidanese Sardinian,,39.0566,9.03935,camp1261,sro
caqu1242,Caquinte,,-11.4812,-73.4451,caqu1242,cot
cara1272,Carapana,,0.06168,-69.6465,cara1272,cbc
cari1280,Cariay,,-0.257079,-65.108643,cari1280,
caro1242,Carolinian,,15.205,145.765,caro1242,cal
carr1249,Carrier,,54.3768,-124.328,carr1249,crx
casi1235,Casiguran-Nagtipunan Agta,,16.2176,121.878,casi1235,dgc
cebu1242,Cebuano,,8.38799,124.367,cebu1242,ceb
cent1972,Central Kurdish,,35.6539,45.8077,cent1972,ckb
cent2053,Central Malay,,-3.79673,103.137,cent2053,pse
cent2072,Central Masela,,-8.15414,129.865,cent2072,mxz
cent2074,Central Ngada,,-8.6778,121.04764,cent2074,ssq
cent2084,Central Cagayan Agta,,17.9571,121.857,cent2084,agt
cent2087,Coastal-Naga Bikol,,13.7574,123.403,cent2087,bcl
cent2089,Central Subanen,,8.12701,123.018,cent2089,syb
cent2092,Central Sama,,7.004574,118.455978,cent2092,sml
cent2101,Central Melanau,,2.524086,111.346451,cent2101,mel
cent2131,Central Tarahumara,,27.5648,-107.154,cent2131,tar
chah1248,Chaha,,,,chah1248,
chak1270,Chak,,21.4134,92.5953,chak1270,ckh
cham1312,Chamorro,,13.438011,144.74474,cham1312,cha
cham1318,Chamicuro,,-5.1149,-75.6778,cham1318,ccc
chan1313,Chang Naga,,26.4336,94.9536,chan1313,nbc
chao1238,Chaozhou,,23.666667,116.633333,chao1238,
chao1239,Chaoshan,,,,chao1239,
chap1269,Chapakura,,-14.8,-62.2,chap1269,
chek1238,Cheke Holo,,-8.27055,159.625,chek1238,mrn
chem1251,Chemehuevi,,35.356093,-116.438436,chem1251,
chep1245,Chepang,,27.7206,84.9017,chep1245,cdm
chib1248,Chiba,,,,chib1248,
chic1271,Chicomuceltec,,15.6078,-91.2869,chic1271,cob
chig1238,Chiga,,-1.04387,29.9122,chig1238,cgg
chim1312,Chimwiini,,1.111787,44.026991,chim1312,
chip1261,Chipewyan,,58.98,-104.44,chip1261,chp
chir1286,Chiripá,,-25.6521,-55.051,chir1286,nhd
chok1245,Chokwe,,-9.66082,21.3992,chok1245,cjk
chol1278,Jollado,,35.14,126.84,chol1278,
chol1282,Chol,,17.4897,-92.4698,chol1282,ctu
chor1273,Chortí,,14.818,-89.2363,chor1273,caa
chru1239,Chru,,11.6625,108.529,chru1239,cje
chuk1274,Chuka,,-0.27405,37.6116,chuk1274,cuh
chun1247,Ch'ungch'ongdo,,36.63,127.31,chun1247,
chur1257,Church Slavic,,43.7171,22.8442,chur1257,chu
chuu1238,Chuukese,,7.346993,151.598607,chuu1238,chk
chuv1255,Chuvash,,55.487,47.163,chuv1255,chv
clas1249,Classical-Middle Armenian,,38.592316,41.346422,clas1249,xcl
clas1250,Classical Nahuatl,,19.72,-96.97,clas1250,nci
clas1254,Classical Tibetan,,29.24,92.01,clas1254,xct
coca1259,Cocama-Cocamilla,,-4.5,-74.0,coca1259,cod
cola1237,Colac,,-38.471266,143.422444,cola1237,
coma1245,Comanche,,34.0,-101.0,coma1245,com
coqu1236,Coquille,,44.5177,-119.605,coqu1236,coq
corn1251,Cornish,,50.5233,-4.18619,corn1251,cor
cota1241,Cotabato Manobo,,6.39417,124.234,cota1241,mta
cube1242,Cubeo,,1.32382,-70.1939,cube1242,cub
cupe1243,Cupeño,,33.3148,-116.515,cupe1243,cup
cure1236,Kueretu,,-1.045978,-70.305862,cure1236,
czec1258,Czech,,49.873398,15.10437,czec1258,ces
daai1236,Daai Chin,,20.7347,93.7853,daai1236,dao
daii1240,Dai,,-7.55894,129.687,daii1240,dij
dani1285,Danish,,54.8655,9.36284,dani1285,dan
darl1243,Paakantyi,,-32.7021,142.695,darl1243,drl
dawe1237,Dawera-Daweloor,,-7.76324,130.06,dawe1237,ddw
dedu1240,Dedua,,-6.38206,147.627,dedu1240,ded
dege1248,Degexit'an,,62.0697,-160.044,dege1248,ing
dehu1237,Dehu,,-20.8892,167.229,dehu1237,dhv
deng1250,Dengese,,-3.26337,21.4194,deng1250,dez
desa1247,Desano,,0.58157,-69.4955,desa1247,des
dhai1238,Dhaiso,,-4.81209,38.818,dhai1238,dhs
dhal1245,Dhalandji,,-22.196,114.937,dhal1245,dhl
dhan1270,Dhangu,,-11.9493,135.752,dhan1270,dhg
dhar1247,Dhargari,,-24.0601,114.847,dhar1247,dhr
dhar1248,Dharumbal,,-23.307,150.593,dhar1248,xgm
dhud1236,Dhudhuroa,,-36.95881441,147.0450379,dhud1236,ddr
dhur1239,Dhurga,,-35.412,150.134,dhur1239,dhu
dhuw1249,Dhuwal,,-12.7825,136.008,dhuw1249,duj
diba1242,Dibabawon Manobo,,7.85664,126.018,diba1242,mbd
dibo1245,Dibole,,1.07773,17.2305,dibo1245,bvx
dier1240,Dieric,,,,dier1240,
dier1241,Dieri,,-28.1667,138.0,dier1241,dif
diga1241,Tawra,,28.4993,96.8803,diga1241,mhu
digo1243,Digo,,-4.62101,39.1752,digo1243,dig
dima1251,Dimasa,,25.4198,93.1806,dima1251,dis
ding1239,Ding,,-4.44304,19.3881,ding1239,diz
diod1237,Diodio,,-9.38654,150.168,diod1237,ddi
diri1252,Diriku,,-18.1681,20.6678,diri1252,diu
djap1238,Djapu,,-12.879764,136.417978,djap1238,
djar1245,Djarrwark,,,,djar1245,
djin1253,Djinang,,-12.462,134.82,djin1253,dji
djiw1241,Djiwarli,,-24.10724,116.98858,djiw1241,dze
dobu1241,Dobu,,-9.63239,150.825,dobu1241,dob
dogr1252,Dogrib,,62.3823,-114.193,dogr1252,dgr
dolg1241,Dolgan,,71.1083,94.2936,dolg1241,dlg
drun1238,Drung,,28.00792,98.49449,drun1238,duu
dual1243,Duala,,4.10208,9.61877,dual1243,dua
dugu1249,Duguri,,10.05,10.21,dugu1249,dbm
duma1253,Duma,,-0.91927,13.0046,duma1253,dma
duru1236,Duruwa,,19.0534,82.4881,duru1236,pci
dutc1256,Dutch,,52.0,5.0,dutc1256,nld
duun1241,Duungidjawu,,,,duun1241,
dyaa1242,Dyaabugay,,-16.596,145.388,dyaa1242,dyy
dyan1250,Dyangadi,,-30.8469,152.602,dyan1250,dyn
dyir1250,Dyirbal,,-17.4516,145.544,dyir1250,dbl
east1436,Eastern Pahari,,27.5947033333,87.6200833333,east1436,nep
east2288,East Frisian Low Saxon,,52.9713,7.73549,east2288,
east2304,Eastern Balochi,,28.0,62.0,east2304,bgp
east2328,Eastern Mari,,55.8307,48.405,east2328,mhr
east2447,East Futuna,,-14.278717,-178.137222,east2447,fud
east2462,East Masela,,-8.13455,129.873,east2462,vme
east2555,Eastern Bolivian Guaraní,,-20.42,-63.37,east2555,gui
east2563,Eastern Cham,,11.2853,108.49,east2563,cjm
east2716,Eastern Maric,,,,east2716,
east2717,Eastern Waka-Kabic,,,,east2717,
east2782,Eastern Kikongo,,-5.25,15.5,east2782,
ekon1238,Ekonda Mongo,,,,ekon1238,
elip1238,Elip,,4.45694,11.193,elip1238,ekm
elna1235,El Nayar Cora,,22.4099,-104.467,elna1235,crn
emae1237,Emae,,-17.052,168.399,emae1237,mmw
emba1238,Embaloh,,1.3156,112.63,emba1238,emb
embu1241,Embu,,-0.62822,37.5933,embu1241,ebu
emer1243,Teko,,3.23694,-52.3699,emer1243,eme
empl1237,Emplawas,,-8.03209,129.721,empl1237,emw
enaw1238,Enawené-Nawé,,-12.4302,-58.9802,enaw1238,unk
enya1247,Enya,,0.56,25.15,enya1247,gey
epig1241,Epigraphic Mayan,,18.993121,-88.768865,epig1241,emy
eree1240,Ere (China),,,,eree1240,
ersu1241,Ersu,,29.2867,102.213,ersu1241,ers
erzy1239,Erzya,,52.8548,45.3901,erzy1239,myv
esto1258,Estonian,,58.55,25.82,esto1258,ekk
eton1253,Eton-Mengisa,,4.21045,11.3935,eton1253,eto
eude1234,Eudeve,,28.5,-110.0,eude1234,
ewon1239,Ewondo,,4.21141,11.93646,ewon1239,ewo
eyak1241,Eyak,,60.4232,-144.762,eyak1241,eya
fang1246,Fang (Equatorial Guinea),,1.723965,11.61454,fang1246,fan
fare1244,Vach-Vasjugan,,60.10378,79.873651,fare1244,
faro1244,Faroese,,62.0732,-6.88497,faro1244,fao
fefe1239,Fe'fe',,5.18158,10.1442,fefe1239,fmp
finn1318,Finnish,,64.7628,25.5577,finn1318,fin
fipa1238,Fipa,,-7.88963,31.3442,fipa1238,fip
flin1247,Flinders Island,,-14.1812,144.259,flin1247,fln
friu1240,Friulian,,46.1473,13.0493,friu1240,fur
fuku1241,Fukui,,,,fuku1241,
fuku1243,Fukushima,,,,fuku1243,
futu1245,Futuna-Aniwa,,-19.5303,170.215,futu1245,fut
gadd1244,Gaddang,,16.5468,121.177,gadd1244,gad
gafa1240,Gafat,,11.5764,39.5605,gafa1240,gft
gaga1249,Gagauz,,44.5988,28.0277,gaga1249,gag
gahr1239,Bunan,,32.2168,77.9596,gahr1239,bfu
gali1261,Galice,,45.3914,-120.75,gali1261,gce
galo1243,Galoli-Talur,,-8.61074,125.959,galo1243,gal
gami1243,Yuwaalaraay-Gamilaraay,,-29.9037,149.543,gami1243,kld
gand1255,Ganda,,0.66884,32.15153,gand1255,lug
gane1237,Gane,,-0.42618,127.976,gane1237,gzn
gang1267,Ganggalida,,-17.5446,139.426,gang1267,gcd
gang1268,Gangulu,,-22.7637,149.416,gang1268,gnl
gapa1238,Gapapaiwa,,-9.73317,149.854,gapa1238,pwg
gari1256,Garifuna,,15.3529,-86.9091,gari1256,cab
garo1247,Garo,,25.2954,90.462,garo1247,grt
gayo1244,Gayo,,4.3733,97.3456,gayo1244,gay
gebe1237,Gebe,,-0.07877,129.424,gebe1237,gei
geda1237,Gedaged,,-5.18175,145.781,geda1237,gdd
geez1241,Geez,,10.1342,40.6821,geez1241,gez
gela1263,Gela,,-9.04587,160.186,gela1263,nlg
gese1240,Geser-Gorom,,-3.8016,130.701,gese1240,ges
ghar1239,Ghari,,-9.4791,159.917,ghar1239,gri
gheg1238,Gheg Albanian,,42.317,21.3837,gheg1238,aln
gida1240,Gidabal,,,,gida1240,
gifu1238,Gifu-Aichi,,,,gifu1238,
gilb1244,Gilbertese,,-1.34,176.44,gilb1244,gil
giry1241,Giryama,,-3.30638,39.6648,giry1241,nyf
gogo1263,Gogo,,-6.35951,35.4807,gogo1263,gog
goro1259,Gorontalo,,0.62689,122.288,goro1259,gor
gosi1242,Gosiute,,,,gosi1242,
goth1244,Gothic,,46.9304,29.9786,goth1244,got
guaj1256,Guajá,,-3.93574,-46.3683,guaj1256,gvj
guaj1257,Guajiro-Paraujano,,,,guaj1257,
guan1269,Kotiria,,1.07554,-69.5705,guan1269,gvc
guan1270,Kinikinao,,-19.1667,-54.0333,guan1270,gqn
guan1279,Guangzhou,,23.1253503,112.9476548,guan1279,
guar1292,Guarayu,,-15.8247,-61.6934,guar1292,gyr
guda1244,Gudang,,-10.91613599,142.5768928,guda1244,xgd
gudj1237,Gudjal,,-19.44157406,144.6482584,gudj1237,
guga1239,Gugadj,,-17.8372,141.168,guga1239,ggd
gugu1253,Gugu Badhun,,-18.4921,144.46,gugu1253,gdc
gugu1254,Gugubera,,-15.4296,141.635,gugu1254,kkp
gugu1255,Guugu Yimidhirr,,-14.9424,144.831,gugu1255,kky
gugu1256,Roth's Gugu Warra,,-12.713,142.569,gugu1256,wrw
gugu1257,Gugu Mini,,,,gugu1257,ggm
guin1258,Guinau,,4.797607,-64.73877,guin1258,
